id,participant,sponsor,region,due_step,voluntary,stake,resolved,payout
BC_1_A020_1,A020,A038,R04,4,True,2.06159664969885,True,2.0
BC_3_A026_2,A026,A018,R04,9,True,1.5100478032820628,True,0.0
BC_3_A032_3,A032,A016,R02,10,True,2.304505830612885,True,2.0
BC_3_A002_4,A002,A037,R03,7,True,2.325491665922784,True,2.0
BC_9_A017_5,A017,A010,R04,12,True,2.913452367026943,True,2.0
BC_18_A055_6,A055,A010,R04,24,True,2.1367346836967944,True,2.0
BC_21_A016_7,A016,A016,R02,24,True,2.3376479870251803,True,2.0
BC_24_A032_8,A032,A041,R00,31,True,2.765760199120062,True,2.0
BC_24_A041_9,A041,A000,R01,28,True,1.6508568980016043,True,2.0
BC_26_A011_10,A011,A006,R00,32,True,2.0601144549374393,True,0.0
BC_27_A020_11,A020,A039,R00,32,True,1.6983129292189305,True,0.0
BC_29_A016_12,A016,A040,R03,34,True,1.9412405785742994,True,2.0
BC_32_A001_13,A001,A034,R04,36,True,1.744700299383856,True,2.0
BC_33_A040_14,A040,A024,R04,36,True,1.573568649732334,True,2.0
BC_37_A049_15,A049,A043,R01,41,True,1.3959265440866313,True,2.0
BC_39_A017_16,A017,A003,R02,46,True,2.127478522820658,True,2.0
BC_41_A032_17,A032,A035,R03,48,True,1.9302128417936621,True,2.0
BC_42_A042_18,A042,A028,R04,48,True,2.4811409912415474,True,0.0
BC_43_A048_19,A048,A027,R00,47,True,1.305480648261107,True,2.0
BC_47_A047_20,A047,A041,R00,50,True,1.4805097407853332,True,0.0
BC_48_A056_21,A056,A011,R02,54,True,2.578174144475538,True,0.0
BC_48_A038_22,A038,A002,R02,54,True,2.9520780111362703,True,2.0
BC_49_A057_23,A057,A010,R04,56,True,2.989826262141656,True,2.0
BC_49_A005_24,A005,A024,R04,54,True,1.8513897217923418,True,2.0
BC_50_A010_25,A010,A043,R01,57,True,1.8896670188247962,True,0.0
BC_50_A054_26,A054,A006,R00,54,True,2.345834466156437,True,0.0
BC_50_A048_27,A048,A031,R03,55,True,1.1220022310900457,True,2.0
BC_52_A002_28,A002,A039,R00,57,True,1.1828052115660967,True,2.0
BC_54_A027_29,A027,A030,R04,60,True,1.4558752010078504,True,2.0
BC_57_A053_30,A053,A021,R03,62,True,2.008833479099156,True,0.0
BC_58_A040_31,A040,A004,R03,65,True,2.474795061470693,True,2.0
BC_58_A032_32,A032,A032,R04,65,True,1.4773405558375128,True,2.0
BC_59_A057_33,A057,A022,R04,63,True,1.7988442226386265,True,2.0
BC_59_A026_34,A026,A036,R04,63,True,1.5840498340100153,True,2.0
BC_61_A056_35,A056,A010,R04,64,True,2.238204093474236,True,2.0
BC_64_A035_36,A035,A020,R00,67,True,2.5276835142234377,True,0.0
BC_70_A020_37,A020,A033,R02,74,True,1.039876352072558,True,2.0
BC_70_A033_38,A033,A041,R00,76,True,1.7186028509627962,True,2.0
BC_71_A050_39,A050,A034,R04,76,True,2.098957643387264,True,2.0
BC_74_A028_40,A028,A006,R00,78,True,2.810149031694923,True,2.0
BC_78_A054_41,A054,A025,R04,85,True,2.179406330356169,True,2.0
BC_78_A007_42,A007,A043,R01,84,True,2.342220981046211,True,2.0
BC_82_A015_43,A015,A031,R03,88,True,2.134382612028563,True,2.0
BC_85_A049_44,A049,A013,R00,91,True,1.3679266093955365,True,0.0
BC_88_A009_45,A009,A019,R02,94,True,1.3334421945317982,True,0.0
BC_94_A002_46,A002,A020,R00,98,True,2.3382451863747655,True,2.0
BC_94_A053_47,A053,A013,R00,98,True,1.2928023763219598,True,2.0
BC_95_A006_48,A006,A009,R02,99,True,2.649445859105185,True,2.0
BC_95_A046_49,A046,A017,R03,99,True,2.7232517623157166,True,2.0
BC_99_A023_50,A023,A004,R03,106,True,1.7184853736346923,True,2.0
BC_102_A055_51,A055,A032,R04,109,True,1.8481230794527987,True,2.0
BC_105_A023_52,A023,A003,R02,111,True,2.7949798505302077,True,2.0
BC_108_A057_53,A057,A007,R03,114,True,2.491262985452278,True,0.0
BC_109_A034_54,A034,A013,R00,116,True,1.9442165648858158,True,2.0
BC_110_A034_55,A034,A044,R01,114,True,1.4953254393291189,True,2.0
BC_111_A006_56,A006,A026,R02,118,True,1.1707892542522256,True,2.0
BC_111_A031_57,A031,A027,R00,115,True,1.0759904554688184,True,0.0
BC_113_A056_58,A056,A011,R02,120,True,1.4747614791110484,True,2.0
BC_113_A038_59,A038,A031,R03,118,True,2.7461652584287455,True,2.0
BC_114_A045_60,A045,A044,R01,119,True,1.2533359882005832,True,0.0
BC_119_A045_61,A045,A010,R04,124,True,2.149784174842006,True,0.0
BC_119_A018_62,A018,A019,R02,123,True,2.4912383434131673,True,2.0
BC_119_A029_63,A029,A026,R02,123,True,2.974085363398708,True,2.0
BC_120_A018_64,A018,A023,R00,123,True,2.067410896057577,True,0.0
BC_121_A025_65,A025,A043,R01,127,True,2.6245202712989686,True,2.0
BC_123_A023_66,A023,A014,R03,129,True,1.4824524696658394,True,0.0
BC_125_A019_67,A019,A022,R04,131,True,2.156027795885083,True,2.0
BC_128_A028_68,A028,A005,R02,131,True,1.9205406277011678,True,2.0
BC_128_A005_69,A005,A007,R03,132,True,2.0154912806453735,True,2.0
BC_130_A053_70,A053,A036,R04,133,True,2.089294189809907,True,2.0
BC_133_A025_71,A025,A014,R03,137,True,1.6374342663546912,True,2.0
BC_137_A015_72,A015,A026,R02,142,True,2.5890559250952805,True,2.0
BC_139_A013_73,A013,A027,R00,142,True,1.8111944066049723,True,0.0
BC_142_A025_74,A025,A001,R03,149,True,1.0967020644105647,True,2.0
BC_145_A001_75,A001,A031,R03,150,True,1.445994775004868,True,0.0
BC_146_A004_76,A004,A018,R04,153,True,2.0208645939490775,True,2.0
BC_150_A003_77,A003,A003,R02,155,True,1.5340198399145581,True,2.0
BC_152_A001_78,A001,A020,R00,155,True,2.1385556245287294,True,0.0
BC_156_A019_79,A019,A024,R04,161,True,2.40347943296892,True,2.0
BC_157_A031_80,A031,A031,R03,163,True,1.783733748658408,True,2.0
BC_158_A006_81,A006,A006,R00,164,True,1.5439270771725597,True,2.0
BC_158_A012_82,A012,A029,R00,161,True,2.5742735767074243,True,0.0
BC_161_A036_83,A036,A026,R02,165,True,1.0149583983177195,True,2.0
BC_162_A007_84,A007,A031,R03,165,True,1.9525423369963055,True,2.0
BC_164_A007_85,A007,A015,R00,171,True,1.6516585611587016,True,0.0
BC_164_A041_86,A041,A043,R01,168,True,1.9329931843148715,True,2.0
BC_166_A001_87,A001,A019,R02,172,True,2.3050504885686456,True,0.0
BC_170_A036_88,A036,A034,R04,173,True,2.05903077250795,True,2.0
BC_172_A054_89,A054,A040,R03,179,True,1.1350528033573026,True,0.0
BC_174_A046_90,A046,A015,R00,177,True,2.526027936235412,True,2.0
BC_176_A056_91,A056,A003,R02,182,True,2.298263316369749,False,0.0
BC_176_A035_92,A035,A012,R00,182,True,1.5121814519194192,False,0.0
BC_177_A022_93,A022,A014,R03,182,True,1.757909174139139,False,0.0
BC_178_A005_94,A005,A020,R00,183,True,1.288745327841171,False,0.0
BC_178_A009_95,A009,A014,R03,181,True,1.5766705074907243,False,0.0
