coin_value_zw,debt_qty,debt_value_zw,debtors,holders,label,layer,market_price,meaning,name,positive_qty,positive_value_zw,q,shortage_index
1.0,4474.038090074098,4474.038090074098,1,323,Q1,Grundmünze,1.2024294453898285,"Aufgabe, Schwierigkeit, Knoten, Problemkern",Schwierigkeit,8397.652038759104,8397.652038759104,1,0.532709066815338
1.0,0.0,0.0,0,80,Q2,Grundmünze,1.0,"Teil, Kompliziertheit, Molekülelement, Teilstruktur",Komplexität,1424.5087518053326,1424.5087518053326,2,0.0
1.0,0.0,0.0,0,89,Q3,Grundmünze,1.0,"Theorie, Modell, lockerer/fester Zwischenzustand",Abstraktion,1068.8934210482807,1068.8934210482807,3,0.0
1.0,0.0,0.0,0,69,Q4,Grundmünze,1.0,"formales Objekt, Faden, mathematische Gestalt",Kristallisation,197.0185300288711,197.0185300288711,4,0.0
2.0,0.0,0.0,0,76,Q5,Operationsmünze,2.0,"Enkodieren, Befehl, Kommando, imperatives Programmieren",Kodierung,1390.3352925178735,2780.670585035747,5,0.0
2.0,0.0,0.0,0,59,Q6,Operationsmünze,2.0,"declarative Beschreibung, Regel, Faden statt Befehl",Deklaration,159.30885102270477,318.61770204540954,6,0.0
2.0,0.0,0.0,0,76,Q7,Operationsmünze,2.0,"Delegieren, Referenzieren, Verantwortungsübertragung",Delegation,198.20499577512967,396.40999155025935,7,0.0
2.0,0.0,0.0,0,53,Q8,Operationsmünze,2.0,"wiederverwendbarer Stein, Wabe, Bausteinsammlung",Bibliothek,204.85922683378203,409.71845366756406,8,0.0
2.0,0.0,0.0,0,40,Q9,Operationsmünze,2.0,"Rahmen, Organisches, allgemeine Intelligenzstruktur",Framework,106.7283972229361,213.4567944458722,9,0.0
3.0,122.57950779415535,367.73852338246604,4,87,Q10,Systemmünze,3.16153182452505,"Beschränkung, Struktur, Strick, Möglichkeitsraum",Constraint,864.7633081254899,2594.2899243764696,10,0.1416945829167109
3.0,309.2541079965698,927.7623239897094,4,60,Q11,Systemmünze,3.3922200728228433,"Eingriff, Interface, Gedankeneinsatz",Schnittstelle,898.523475750295,2695.570427250885,11,0.34405269545863476
3.0,0.0,0.0,0,45,Q12,Systemmünze,3.0,"Werkzeugkoffer, Mathematik, Methoden",Toolbox,287.7394942880097,863.2184828640292,12,0.0
3.0,0.0,0.0,0,43,Q13,Systemmünze,3.0,"Programm, Service, Paradigma, Dienst, Gedankenansatz",Programm/Dienst,529.6261851931217,1588.8785555793652,13,0.0
3.0,0.0,0.0,0,49,Q14,Systemmünze,3.0,"Komposition, Choreographie, Dirigieren, Meisterung",Orchestrierung,152.92067062948095,458.7620118884429,14,0.0
3.0,0.0,0.0,0,44,Q15,Systemmünze,3.0,"Applikation, Werk, Opus",Anwendung,62.17720449801739,186.53161349405218,15,0.0
3.0,0.0,0.0,0,45,Q16,Systemmünze,3.0,"Menü, Kernel, Betriebssystem, Ausführung",Betrieb,628.7521498738481,1886.2564496215443,16,0.0
4.0,0.0,0.0,0,27,Q17,Kapitalmünze,4.0,Kompression; 1/Q17 = Dekompression,Kompression,87.57472808851207,350.2989123540483,17,0.0
4.0,0.0,0.0,0,31,Q18,Kapitalmünze,4.0,"Architektur, Konstruktion",Architektur,263.7491182883889,1054.9964731535556,18,0.0
4.0,0.0016263842179256999,0.0065055368717027995,1,14,Q19,Kapitalmünze,4.000116234761916,Generierung; 1/Q19 = Degenerierung,Generierung,21.0181986912299,84.0727947649196,19,7.647023810231524e-05
4.0,0.0,0.0,0,13,Q20,Kapitalmünze,4.0,"Modul, Maschine, Gerät, fertige Entwicklung",Modul/Maschine,85.14007913384482,340.5603165353793,20,0.0
